"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.04.2022","8.606,40","8.562,20","8.625,30","8.543,10","175,19M","1,64%"
"07.04.2022","8.467,40","8.512,70","8.635,20","8.451,00","223,34M","-0,17%"
"06.04.2022","8.482,10","8.600,60","8.635,60","8.418,00","273,33M","-1,64%"
"05.04.2022","8.623,30","8.529,80","8.640,30","8.505,70","180,39M","1,20%"
"04.04.2022","8.520,80","8.536,10","8.546,40","8.432,90","141,86M","0,20%"
"01.04.2022","8.503,70","8.481,70","8.533,00","8.442,80","150,41M","0,69%"
"31.03.2022","8.445,10","8.562,60","8.588,30","8.445,10","220,12M","-1,23%"
"30.03.2022","8.550,60","8.583,30","8.597,40","8.508,90","185,39M","-0,74%"
"29.03.2022","8.614,60","8.451,00","8.621,00","8.419,70","257,81M","2,98%"
"28.03.2022","8.365,60","8.354,40","8.485,70","8.354,40","167,96M","0,42%"
"25.03.2022","8.330,60","8.314,10","8.363,20","8.286,50","156,19M","0,31%"
"24.03.2022","8.305,10","8.352,10","8.380,00","8.274,50","175,54M","-0,28%"
"23.03.2022","8.328,40","8.509,60","8.522,20","8.328,40","184,04M","-1,87%"
"22.03.2022","8.487,20","8.415,70","8.487,20","8.400,70","176,35M","1,17%"
"21.03.2022","8.389,20","8.417,30","8.465,60","8.389,20","149,78M","-0,34%"
"18.03.2022","8.417,60","8.422,40","8.434,10","8.309,20","336,65M","0,07%"
"17.03.2022","8.412,00","8.409,50","8.445,80","8.317,40","243,53M","0,38%"
"16.03.2022","8.380,40","8.375,70","8.475,50","8.324,60","331,70M","1,75%"
"15.03.2022","8.236,10","8.150,20","8.286,70","8.092,70","238,01M","0,02%"
"14.03.2022","8.234,40","8.228,90","8.313,40","8.190,30","236,74M","1,13%"
"11.03.2022","8.142,10","8.115,30","8.375,30","8.068,10","333,21M","0,90%"
"10.03.2022","8.069,30","8.166,50","8.197,10","7.997,20","320,30M","-1,15%"
"09.03.2022","8.163,10","8.043,40","8.163,10","7.976,30","358,26M","4,88%"
"08.03.2022","7.783,40","7.569,80","7.923,70","7.566,10","372,80M","1,82%"
"07.03.2022","7.644,60","7.510,40","7.769,70","7.287,70","469,18M","-0,99%"
