country,code,region,region.code,EU,OECD,income.level,income.level.code,life.expectancy,fertility.rate,mortality.rate,pop.growth,pop.rural,pop.0.14,pop.15.24,pop.25.64,pop65.older,GDP.percapita,log.GDP.percapita,GDP.growth
Mauritius,MUS,Sub-Saharan Africa,SSA,no,no,Upper middle,UM,74.39,1.4,12.2,0.07,60.45,0.19,0.16,0.55,0.1,9681.6,9.178,3.8
Mexico,MEX,Latin America & Caribbean,LAC,no,yes,Upper middle,UM,77.12,2.2,12.6,1.3,20.48,0.27,0.18,0.48,0.07,8443.7,9.041,2.913
Federated States of Micronesia,FSM,East Asia & Pacific,EAP,no,no,Lower middle,LM,69.2,3.1,27.5,0.48,77.52,0.34,0.24,0.38,0.05,3143.7,8.053,-0.064
Mongolia,MNG,East Asia & Pacific,EAP,no,no,Lower middle,LM,69.29,2.8,15.4,1.68,27.18,0.29,0.16,0.51,0.04,3694.1,8.214,1.243
Montenegro,MNE,Europe & Central Asia,ECA,no,no,Upper middle,UM,77.12,1.7,3.5,0.02,35.78,0.18,0.13,0.54,0.14,7028.9,8.858,2.949
Morocco,MAR,Middle East & North Africa,ENA,no,no,Lower middle,LM,75.82,2.5,23.3,1.35,39.32,0.28,0.17,0.49,0.07,2892.8,7.97,1.222
Mozambique,MOZ,Sub-Saharan Africa,SSA,no,no,Low,L,58.31,5.2,53.1,2.88,67.49,0.45,0.2,0.32,0.03,382.1,5.946,3.763
Myanmar,MMR,East Asia & Pacific,EAP,no,no,Lower middle,LM,66.61,2.2,40.1,0.91,65.35,0.27,0.18,0.49,0.06,1195.5,7.086,5.872
Namibia,NAM,Sub-Saharan Africa,SSA,no,no,Upper middle,UM,64.39,3.4,32.3,2.21,52.38,0.37,0.21,0.38,0.04,4560.7,8.425,0.7
Nepal,NPL,South Asia,SAS,no,no,Low,L,70.25,2.1,28.4,1.13,81.01,0.32,0.21,0.42,0.06,729.1,6.592,0.413
Netherlands,NLD,Europe & Central Asia,ECA,yes,yes,High,H,81.51,1.7,3.2,0.53,8.97,0.17,0.12,0.53,0.18,45637.9,10.728,2.21
New Zealand,NZL,East Asia & Pacific,EAP,no,yes,High,H,81.61,1.9,4.5,2.1,13.68,0.2,0.14,0.51,0.15,40332,10.605,3.471
Nicaragua,NIC,Latin America & Caribbean,LAC,no,no,Lower middle,LM,75.4,2.2,16.8,1.11,40.89,0.3,0.19,0.46,0.05,2143.9,7.67,4.659
Niger,NER,Sub-Saharan Africa,SSA,no,no,Low,L,60.06,7.2,50.9,3.83,80.99,0.5,0.18,0.29,0.03,368,5.908,4.926
Nigeria,NGA,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,53.43,5.5,66.9,2.62,51.4,0.44,0.19,0.34,0.03,2175.7,7.685,-1.617
Norway,NOR,Europe & Central Asia,ECA,no,yes,High,H,82.51,1.7,2.1,0.85,19.27,0.18,0.13,0.53,0.17,70890,11.169,1.091
Oman,OMN,Middle East & North Africa,ENA,no,no,High,H,77.03,2.7,9.2,5.22,21.91,0.22,0.15,0.61,0.02,15102.4,9.623,5.384
Pakistan,PAK,South Asia,SAS,no,no,Lower middle,LM,66.48,3.5,64.2,2,60.78,0.35,0.2,0.41,0.04,1442.3,7.274,5.527
Palestine,PSE,Middle East & North Africa,ENA,no,no,Lower middle,LM,73.47,4,16.6,2.88,24.52,0.4,0.22,0.36,0.03,2949.7,7.989,4.708
Panama,PAN,Latin America & Caribbean,LAC,no,no,Upper middle,UM,78,2.5,14.1,1.62,33.11,0.28,0.17,0.48,0.08,14333,9.57,4.989
Papua New Guinea,PNG,East Asia & Pacific,EAP,no,no,Lower middle,LM,65.54,3.7,42.4,2.06,86.96,0.36,0.19,0.41,0.04,2461.9,7.809,1.9
Paraguay,PRY,Latin America & Caribbean,LAC,no,no,Upper middle,UM,73.12,2.5,17,1.29,40.08,0.3,0.2,0.44,0.06,4077.7,8.313,4.02
Peru,PER,Latin America & Caribbean,LAC,no,no,Upper middle,UM,74.98,2.4,11.9,1.26,21.08,0.28,0.18,0.48,0.07,6031.4,8.705,3.951
Philippines,PHL,East Asia & Pacific,EAP,no,no,Lower middle,LM,69.09,2.9,21.5,1.56,55.71,0.32,0.19,0.44,0.05,2950.9,7.99,6.876
Poland,POL,Europe & Central Asia,ECA,yes,yes,High,H,77.45,1.3,4,-0.04,39.47,0.15,0.11,0.58,0.16,12415,9.427,2.864
Portugal,PRT,Europe & Central Asia,ECA,yes,yes,High,H,81.13,1.3,2.9,-0.32,35.98,0.14,0.1,0.55,0.21,19871.7,9.897,1.619
Qatar,QAT,Middle East & North Africa,ENA,no,no,High,H,78.18,1.9,7.3,3.5,0.68,0.14,0.15,0.7,0.01,59324.3,10.991,2.223
Republic of Korea,KOR,East Asia & Pacific,EAP,no,yes,High,H,82.02,1.2,2.9,0.45,17.41,0.14,0.13,0.6,0.13,27608.2,10.226,2.929
Republic of Moldova,MDA,Europe & Central Asia,ECA,no,no,Lower middle,LM,71.61,1.2,13.7,-0.06,54.91,0.16,0.13,0.61,0.1,1913.2,7.557,4.5
Romania,ROU,Europe & Central Asia,ECA,yes,no,Upper middle,UM,75.01,1.6,7.7,-0.57,45.25,0.15,0.11,0.56,0.17,9532.2,9.162,4.821
Russian Federation,RUS,Europe & Central Asia,ECA,no,no,Upper middle,UM,71.59,1.8,6.6,0.17,25.9,0.17,0.1,0.59,0.14,8759,9.078,-0.225
